site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
410 - 414 Radford Road NG7 7NP,yes,,2019-08-14,,0.05,,,DevelopmentDescription: Conversion to 8 apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-06-02,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NLPW3ELY00L00,Not Permissioned,,2163,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455532.5499999998&xmax=455557.6270000003&ymin=341916.4979999997&ymax=341939.30000000075",2017-12-14
"93-95 Upper Parliament Street, NG1 6LA",yes,,2017-12-14,,0.02,8,8,DevelopmentDescription: Conversion of first and second floor offices to C3 residential. (8 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9SYVKLY01B00,permissioned,other,2172,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456945.2410000004&xmax=456960.82600000035&ymin=339997.8220000006&ymax=340017.54199999943",2017-12-14
"561 Valley Road, NG5 1JG",,,2017-12-14,,0.04,,,DevelopmentDescription: Conversion of offices to C3 residential. (7 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-08-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQ4Z6CLY00L00,Not Permissioned,,2173,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455539.9500000002&xmax=455566.9000000004&ymin=342829.5999999996&ymax=342856.75",2017-12-14
1 Howard Street NG1 3LT,yes,,2019-08-14,,0.03,9,9,DevelopmentDescription: Demolition of existing office building and erection of a five storey building with 9 student accommodation apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-12-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P6T1SELYJI200,permissioned,full planning permission,2188,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457474.6500000004&xmax=457497.2000000002&ymin=340261.0999999996&ymax=340285.3499999996",2017-12-14
"The Moog, Newdigate Street NG7 4FD",,31/03/2019,2019-08-14,,0.03,,,DevelopmentDescription: Extensions and conversion to create 9 self contained flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-01-27,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NT28UULYCB000,permissioned,full planning permission,2190,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456232.51999999955&xmax=456254.6799999997&ymin=340432.6079999991&ymax=340455.5399999991",2017-12-14
"6 Victoria Street, NG1 2EW",yes,,2019-08-14,,0.04,21,21,"DevelopmentDescription: multiple apps. Change of use of first and second floors to 13 studios and 1 no 2 bed flat (all C3), internal alterations and new window to rear elevation. Also, change of use of upper floors from vacant offices to 8 new residential apartments. Installati; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2020-03-26,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q2SU5GLYMBS00,permissioned,full planning permission,2206,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457410.4500000002&xmax=457437.3499999996&ymin=339850.19999999925&ymax=339868.5",2017-12-14
"Former Elms School, off Cranmer Street",yes,,2017-12-14,,1.11,45,45,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,,Not permissioned,,2233,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457267.2999999998&xmax=457445.7999999998&ymin=341169.25&ymax=341346.55000000075",2017-12-14
"Springwood Centre, Ransom Drive",yes,,2019-08-14,,2.4,26,26,"DevelopmentDescription: 50 new dwellings and associated development. 13 in 18/19, 11 in 19/20; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,2017-10-03,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORWDQKLY01B00,permissioned,full planning permission,2234,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458313.7460000003&xmax=458520.767&ymin=342008.51999999955&ymax=342352.06799999997",2017-12-14
9 - 10 Short Hill And 54 - 56 High Pavement,yes,,2019-08-14,,0.26,117,117,"DevelopmentDescription: 117 apartments with basement car park, comprising change of use of rear of 9 Short Hill (plus additional floor to roof), change of use of 54-56 High Pavement, a new 5-storey building to Short Hill, a new 3/5/7-storey building to Malin Hill, demolition of; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-05-25,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEAZDSLYKH600,permissioned,full planning permission,2235,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457710.5&xmax=457781.7999999998&ymin=339599.72000000067&ymax=339654.9000000004",2017-12-14
"Blackstone Walk Meadows (regeneration site), Blackstone Walk Meadows",yes,,2017-12-14,,0.52,23,23,DevelopmentDescription: All due to be complete 20/21; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2017-01-31,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCRFFULYG2300,permissioned,full planning permission,2240,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457229.4156999998&xmax=457351.1531999996&ymin=338713.5999999996&ymax=338790.6500000004",2017-12-14
"Land between Rick St and Howard Street off Glasshouse St, NG1 3LP",,,2017-12-14,,0.14,250,250,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not permissioned,,2242,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457480.4900000002&xmax=457529.3534000004&ymin=340221.5377999991&ymax=340278.9947999995",2017-12-14
32 Russell Street,,31/03/2019,2019-08-14,,0.14,,,DevelopmentDescription: Erection of a five storey student accommodation building comprising 124 studio apartments and ancillary facilities.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,,,2251,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456164.3499999996&xmax=456223.2000000002&ymin=340555.25&ymax=340604",2017-12-14
"Old Town Hall, Highbury Road",yes,,2019-08-14,,0.05,21,21,DevelopmentDescription: Proposed Conversion and Change of Use to Residential - 21 No. Apartments; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-03-21,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBS8P7LYLBG00,Not Permissioned,,2252,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454045.4000000004&xmax=454079.466&ymin=345049&ymax=345082.3690000009",2017-12-14
5-7 Waverley Street and 146 Portland Road,,31/03/2019,2017-12-14,,0.12,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-07-27,,,,2254,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456581&xmax=456628.6500000004&ymin=340582.55000000075&ymax=340638.25",2017-12-14
"The Dunkirk Inn, 71 Montpelier Road",,31/03/2019,2019-08-14,,0.1,,,DevelopmentDescription: Erection of 13 apartments and 2 houses following demolition of the existing public house; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-04-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OU3I1WLYGOO00,permissioned,full planning permission,2256,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455064.6500000004&xmax=455102.3499999996&ymin=338162.5999999996&ymax=338193.7100000009",2017-12-14
85 Arnold Road,yes,,2017-12-14,,0.45,12,12,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-15,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PDT5Q3LY01B00,,,2257,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455291.75&xmax=455384.1191999996&ymin=343801.4000000004&ymax=343899.75",2017-12-14
"William Olds Youth Centre, 84 Chiltern Way",yes,,2017-12-14,,0.35000000000000003,22,22,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P30IJ5LYH3B00,pending decision,outline planning permission,2258,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456684.3499999996&xmax=456758.7999999998&ymin=345195.75&ymax=345254.9600000009",2017-12-14
"48A Park Lane, Nottingham NG6 0DT",yes,,2017-12-14,,0.05,12,12,DevelopmentDescription: Full application for residential development following demolition of existing buildings.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-04-25,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PD74KRLYM7G00,permissioned,full planning permission,2267,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455115.7999999998&xmax=455138.9500000002&ymin=343727.5999999996&ymax=343764.80000000075",2017-12-14
"3 Pelham Road, Nottingham NG5 1AP",,31/03/2019,2019-08-14,,0.08,,,DevelopmentDescription: Conversion of offices to C3 residential. (10 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-05-17,,permissioned,,2270,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456656.4000000004&xmax=456692.5499999998&ymin=341781.94999999925&ymax=341825.5999999996",2017-12-14
"20 Upper Parliament Street, Nottingham NG1 2AD",yes,,2019-08-14,,0.02,9,9,DevelopmentDescription: Conversion of first and second floors to 6 one bed flats and 4 additional windows to west elevation. Another permission is for 3 extra dw; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-04-06,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0VSXNLYCB000,permissioned,full planning permission,2278,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457273.9160000002&xmax=457288.3499999996&ymin=340097.55000000075&ymax=340123.16699999943",2017-12-14
"Site Of Mellors Court, Sullivan Close, Nottingham",,31/03/2019,2019-08-14,,0.55,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-12-22,,permissioned,full planning permission,2287,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459036&xmax=459113.9000000004&ymin=340973.5&ymax=341066.69999999925",2017-12-14
"8A Oxford Street, Nottingham NG1 5BN",,31/03/2019,2019-08-14,,0.02,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-12-22,,,,2298,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456667.4000000004&xmax=456690.0499999998&ymin=339878.94999999925&ymax=339896.80000000075",2017-12-14
Archer House 14-22 Castle Gate Nottingham NG1 7AW,,31/03/2019,2019-08-14,,0.11,,,DevelopmentDescription: Conversion and extension to create student accommodation (Variation of condition S1 of 15/01593/PFUL3 to enable 10 additional studio rooms).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-03-31,,,Other,2305,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457159.5999999996&xmax=457204.0999999996&ymin=339660.5999999996&ymax=339713.3499999996",2017-12-14
"Site of the Winning Post Farnborough Road, Nottingham NG11 8GF",,31/03/2019,2019-08-14,,0.23,,,DevelopmentDescription: Residential development; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,,,2309,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455735.6560000004&xmax=455803.6210000003&ymin=335284.12399999984&ymax=335351.2620000001",2017-12-14
"Site Of 43A Gregory Boulevard, Nottingham",yes,,2017-12-14,,0.08,33,33,"DevelopmentDescription: New commercial development comprising of ground floor commercial unit for retail (A1), restaurant (A3) or takeaway (A5) use, with 33 student studio flats above and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-07-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZTP8LLYGXY00,permissioned,full planning permission,2314,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455846.2999999998&xmax=455883.7000000002&ymin=341233.55000000075&ymax=341290.80000000075",2017-12-14
"Former day nursery, Gordon Road",yes,,2019-08-12,,0.1,6,6,DevelopmentDescription: Erection of 6 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-05-03,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OF6GOYLYMOL00,permissioned,full planning permission,744,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458448.94959999993&xmax=458493.2090999996&ymin=340707.6027000006&ymax=340752.9696999993",2017-12-14
"Hyson Green Community Centre, St Pauls Avenue",yes,,2019-08-12,,0.08,12,12,"DevelopmentDescription: Conversion of disused community centre into 12 apartments, new openings and dormer extension to rear. Resubmission of planning application reference 12/02058/PFUL3. Formation of additional apartment in basement (retrospective).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-08-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OP2FZ1LYI4I00,permissioned,full planning permission,1119,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455688.3958999999&xmax=455722.3491000002&ymin=341258.1951000001&ymax=341301.3527000006",2017-12-14
27 St Marys Gate,,31/03/2019,2019-08-12,,0.01,0,0,DevelopmentDescription: Conversion of building to create 10 self contained flats; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-01-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZ8JQGLYCB000,permissioned,full planning permission,1128,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457598.39719999954&xmax=457615.5965&ymin=339742.24899999984&ymax=339753.09589999914",2017-12-14
"National Dry Cleaners, Winchester Street",,,2017-12-14,,0.25,,,DevelopmentDescription: 15 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,1512,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457937.48709999956&xmax=458039.1897&ymin=342987.5003999993&ymax=343056.4397999998",2017-12-14
41Pilcher Gate and 20 St Mary's Gate,yes,,2019-08-12,,0.03,5,5,DevelopmentDescription: Conversion and extension to create office space at basement and ground floor with 5 flats above.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-09-02,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7BP4HLYL8E00,permissioned,full planning permission,1533,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457569.5208999999&xmax=457590.8825000003&ymin=339770.14210000075&ymax=339789.57279999927",2017-12-14
"Robin Hood Chase, St Ann's Well Road",,,2017-12-14,,0.47000000000000003,17,11,"DevelopmentDescription: Outline application for redevelopment of Robin Hood Chase, local centre for mixed use including joint service centre, retail, office and residential. 13/16639/DEMOL rec 22.11.2013 13/02738/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,,,Not Permissioned,,1579,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457933.13680000044&xmax=458047.7969000004&ymin=340941.8714000005&ymax=341024.58589999937",2017-12-14
2-6 Alfreton Road,yes,,2017-12-14,,0.08,35,35,DevelopmentDescription: Demolition of existing buildings and erection of 35 apartments with commercial floorspace (Use Class A2 and B1) on the ground floor.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,,2018-03-01,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPS887LYK5J00,permissioned,full planning permission,1629,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456364.2719999999&xmax=456403.37040000036&ymin=340195.89240000024&ymax=340235.9444999993",2017-12-14
Carlton Road - Castle College,,,2017-12-14,,1.28,38,0,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,1630,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458890.2198999999&xmax=459025.1074000001&ymin=340447.2962999996&ymax=340620.7879000008",2017-12-14
"Waterside - Cattle Market, Cattle Market Road",,,2017-12-14,,3.34,80,50,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,1638,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458067.40110000037&xmax=458316.9411000004&ymin=338695.69859999977&ymax=338924.3233000003",2017-12-14
Waterside - Meadow Lane,yes,,2017-12-14,,4.99,320,280,"DevelopmentDescription: Multiple applications. 13/02877/PFUL3 Redevelop Banton House for 95 dwellings, 18/01570/PFUL3 Express Dairies for 67 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2015-10-29,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MX2GX7LYCB000,permissioned,full planning permission,1639,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458079.9000000004&xmax=458431.0499999998&ymin=338446.6500000004&ymax=338874.75",2017-12-14
"Burrows Court / Site of Red Cow Public House, Windmill Lane",,,2017-12-14,,1.49,58,58,DevelopmentDescription: 58 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,1680,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458717.8969999999&xmax=458867.00100000016&ymin=340162.8350000009&ymax=340388.87900000066",2017-12-14
Bulwell Lane - Former Coach Depot,,31/03/2019,2019-08-14,,0.55,0,0,DevelopmentDescription: Residential development comprising 32 dwellings and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-07-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NN7LSCLYCB000,permissioned,full planning permission,1762,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454830.4199000001&xmax=454954.3245000001&ymin=343872.8378999997&ymax=343927.1980000008",2017-12-14
"Former Gardeners Public House, The Wells Road",,31/03/2019,2019-08-14,,0.22,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-01-28,,,,1782,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458883&xmax=458923.9500000002&ymin=341831.94999999925&ymax=341919.69999999925",2017-12-14
"BGU Manufacturing, Meadow Lane",,,2017-12-14,,0.12,8,8,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,1795,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457974.28000000026&xmax=458023.3499999996&ymin=338471.69999999925&ymax=338517.94999999925",2017-12-14
9 -9A Castle Street,,,2017-12-14,,0.03,,,DevelopmentDescription: 6 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2012-05-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=M1L252LYCB000,Not Permissioned,,1806,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458645.6500000004&xmax=458668.7999999998&ymin=339590.5&ymax=339609.30000000075",2017-12-14
1 to 2 St Peters Church Walk,,,2017-12-14,,0.04,0,0,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,1865,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457340.4000000004&xmax=457357.2999999998&ymin=339774.4000000004&ymax=339803.44999999925",2017-12-14
1 Hockley,yes,,2017-12-14,,0.11,75,75,DevelopmentDescription: Erection of 8 storey building to create ground floor retail and student apartments following demolition of existing building (Variation of condition S1 of planning permission reference - alterations to approved plans 12/00640/PFUL3).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2013-09-09,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MO2BIXLYCB000,permissioned,full planning permission,1872,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457786.3499999996&xmax=457835&ymin=339947.0999999996&ymax=340004.6500000004",2017-12-14
"66-72 Hounds Gate, Nottingham NG1 6BA",,31/03/2019,2019-08-15,,0.05,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-11-16,,permissioned,,2376,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456996.3990000002&xmax=457027.1969999997&ymin=339624.40300000086&ymax=339654.40699999966",2018-12-14
"503 And 505 Alfreton Road, Nottingham NG7 5NH",yes,,2018-12-14,,0.03,5,5,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-11-15,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OW3Q08LYLU500,permissioned,full planning permission,2378,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455220.1090000002&xmax=455242.0959999999&ymin=341057.71199999936&ymax=341080.9000000004",2018-12-14
"277 Woodborough Road, Nottingham NG3 4JT",yes,,2019-08-15,,0.06,5,5,DevelopmentDescription: Conversion of building from Class D1 business use to residential use for 5 units; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-12-15,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OXWYONLYJ9I00,permissioned,full planning permission,2384,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457560.2000000002&xmax=457583&ymin=341298.05000000075&ymax=341349.1500000004",2018-12-14
"Winchester Court, Chestnut Walk, Nottingham",,31/03/2019,2019-08-15,,1.11,,,"DevelopmentDescription: Five-storey residential development, consisting of 44 one-bed flats, with an additional two rooms for guest/carer provision. Scooter storage facilities, communal resident areas and other amenities. Single-storey glazed links to existing tower blocks. Dem; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-04-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OHUU6FLYMGG00,permissioned,full planning permission,2388,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457994.3360000001&xmax=458081.9670000002&ymin=343074.6989999991&ymax=343304.7689999994",2018-12-14
"21 Carlton Road, Nottingham NG3 2D",yes,,2019-08-15,,0.03,6,6,DevelopmentDescription: Conversion of public house to six flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-07-07,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOPC7ZLYH3P00,permissioned,full planning permission,2389,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458102.7000000002&xmax=458132.2000000002&ymin=340033&ymax=340061.19999999925",2018-12-14
