site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Bradford Road Bronte Street,,,2018-11-01,,0.21,11,9,Former car sales showroom and forecourt- currently unused between homes and restaurant PH,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801600FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JCZS6VDHL6000&activeTab=summary|https://planning.bradford.gov,not permissioned,,KY/158,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406825.3,441727.45,406890.5,441798.4,27700",2018-11-01
113-17 Dalton Lane,yes,,2018-11-01,,0.02,0,0,Site with permission for 5 flats,local-authority-eng:BRD,not owned by a public authority,2017-07-04,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OEVXN8DHJVM00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ORJN8HDHKI400&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,KY/162,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406756.003,441355.153,406773.3007,441370.8779,27700",2018-11-01
Grange Street,,,2018-11-01,,0.34,33,17,Vacant site with remnants of former use in a predominantly residential area,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203000COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202513COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,KY/167,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406419.05,441658.45,406538.901,441725.1104,27700",2018-11-01
Halifax Rd,yes,,2018-11-01,,0.08,0,0,Site permission for 7 terraced homes,local-authority-eng:BRD,not owned by a public authority,2017-10-20,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LHC5B9DHFH000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7604781COU&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,KY/169,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405472.6311,439409.65,405499.2495,439455.7571,27700",2018-11-01
10 Church Street,yes,,2018-11-01,,0.04,0,0,Buildings with conversion permission to 5 apartments,local-authority-eng:BRD,not owned by a public authority,2017-01-14,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JYEF6NDHFH000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=M16WJIDHC1000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,KY/170,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405987.7,441004.7,406026.35,441025.85,27700",2018-11-01
"Springfield Mills, Oakworth Road",yes,,2018-11-01,,0.07,0,0,buildings with conversion permission to 14 apartments,local-authority-eng:BRD,not owned by a public authority,2017-07-05,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JRG0UJDH02V00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9204976FUL&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,KY/171,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405701.7133,440898.653,405735.6,440935.1771,27700",2018-11-01
Parson Street,yes,,2018-11-01,,0.49,22,18,Underused buildings in an area suitable for residential redevelopment,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0103870COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9105562FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,KY/172,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406526.11,441712.5503,406633.4482,441794.3987,27700",2018-11-01
Otley Road,,,2018-11-01,,0.81,0,0,Former pub with pending application for retirement apartments,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HJJZ0SDHV3000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8807098FUL&activeTab=summary|https://planning.bradford.gov,pending decision,,ME/020,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417768.47,443392.16,417856.47,443496.83,27700",2018-11-01
"Romanby Shaw, Ravenscliffe",yes,,2018-11-01,,1.55,0,0,Erection of 47 residential units with associated parking and landscaping,local-authority-eng:BRD,owned by a public authority,2018-02-14,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IN84P3DHV6000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7505651FUL&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NE/009,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=418967.3864,436760.1873,419096.1956,436941.6375,27700",2017-11-01
"Westfield Lane, Wrose",yes,,2018-11-01,,0.97,44,36,The site had planning permission for 47 units in 2013 which has now expired. The owner is understood to be looking at bringing the site forward,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8907463FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9701340FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,NE/013A,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416831.6,437050.005,416983.053,437178.2237,27700",2017-11-01
"Fagley Croft, Fagley",yes,,2018-11-01,,0.38,0,0,Site with permission for 8 detached homes,local-authority-eng:BRD,not owned by a public authority,2018-05-30,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301642REM&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0100492OUT&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,NE/014,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=418664.55,434608.5998,418758.1,434690.3498,27700",2017-11-01
"Harrogate Road, Greengates",yes,,2018-11-01,,0.25,0,0,Site with permission for 28 apartments,local-authority-eng:BRD,not owned by a public authority,2018-02-27,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KLN2NQDH02100&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7806071OUT&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NE/015A,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=419314.401,437702.3975,419407.0521,437756.3927,27700",2017-11-01
"Barkerend Mill, Barkerend Road, Barkerend",,,2018-11-01,,1.1,247,99,Substantial listed mill suitable for conversion. There has been some recent interest in the site,local-authority-eng:BRD,mixed ownership,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J9YRDTDH8O000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701346REN&activeTab=summary|https://planning.bradford.gov,not permissioned,,NE/035,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417319.6868,433288.34,417485.76,433419.47,27700",2017-11-01
"Arthur Street, Idle",,,2018-11-01,,0.97,43,36,Detailed applications have so far been refused.,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9501746FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OGFAN8DHKSQ00&activeTab=summary|https://planning.bradford.gov,not permissioned,,NE/046,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417796.28,436852.25,418005.7998,436936.1989,27700",2017-11-01
"Victoria Road, Eccleshill",yes,,2018-11-01,,0.5,23,19,,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IFYM3GDHY8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0000135FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,,NE/064,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=418381.35,435737.0,418495.1561,435797.6,27700",2018-11-01
"55 Joseph Street, Barkerend",,,2018-11-01,,0.2,20,10,A small site but which could accommodate a medim/high density scheme but also has development potential for employment uses. The owners intentions however are not presently known,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0300173ADV&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J13NVLDH4A000&activeTab=summary|https://planning.bradford.gov,not permissioned,,NE/090,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417110.9375,433004.7498,417183.4063,433054.9998,27700",2017-11-01
"Croft Street, Idle",,,2018-11-01,,0.27,14,11,Site where permission for 9 houses and 7 flats has expired. The owners current intentions are not known but the site remains suitable for residential redevelopment,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8701184EXT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8607383DUMMY&activeTab=summary|https://planning.bradford.gov.,not permissioned,,NE/102,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=418029.1222,437633.15,418106.6,437700.75,27700",2017-11-01
"Folkestone Street, Bradford Moor",yes,,2018-11-01,,0.07,0,0,Former garage site with detailed permission for 8 units,local-authority-eng:BRD,not owned by a public authority,2016-04-14,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9600537OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCE8R8DH0I700&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NE/111,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=418024.6,433307.4,418065.9869,433335.2353,27700",2017-11-01
"Steadman Street, Whitehead Street, Barkerend",,,2018-11-01,,0.4,18,15,The site is vacant and is not being used but it has had planning permission for residential previously but the owners intentions are not currently known,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JBYZZDDHV6000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7404184COU&activeTab=summary|https://planning.bradford.gov,not permissioned,,NE/113,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417784.0195,432938.0819,417868.91,433017.6256,27700",2017-11-01
"Rimswell Holt, Ravenscliffe",,,2018-11-01,,0.22,9,6,"Cleared site formerly RC church, opposite and adjacent residential identified from survey. The owners current intentions are not know but the site could accommodate at least 6 homes",local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KHBEKUDHFH000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JK6YHLDH7B000&activeTab=summary|https://planning.bradford.,not permissioned,,NE/123,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=419216.3,436523.6,419279.9,436585.05,27700",2017-11-01
196 - 198 Barkerend Road - Bradford,yes,,2018-11-01,,0.04,0,0,"Change of use from public house with existing living accommodation above to eight self-contained flats, with enlargement and alterations to rear extension and dormer windows to front and rear. Further permission granted in February 2017 to add an addtion",local-authority-eng:BRD,not owned by a public authority,2015-08-10,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0001924COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NSLUR4DH0IO00&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NE/134,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417240.678,433375.03,417265.86,433402.2,27700",2017-11-01
"Thackley Grange, Thackley",yes,,2018-11-01,,0.54,0,0,Permission for 14 family homes,local-authority-eng:BRD,not owned by a public authority,2018-02-16,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7605950FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=PCVZ0WDH0LY00&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NE/147,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417610.5344,438326.1439,417687.6,438403.5,27700",2017-11-01
114 Undercliffe Road,yes,,2018-11-01,,0.19,0,0,Detailed residential permissionfor 7 units,local-authority-eng:BRD,not owned by a public authority,2018-01-18,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8501550OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8606927NEW&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,NE/153,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417709.1,435430.43,417778.8,435501.2,27700",2017-11-01
"Former Fire Station, Highfield Road, Idle",yes,,2018-11-01,,0.27,0,0,Site with permission for 11 units,local-authority-eng:BRD,not owned by a public authority,2016-04-07,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9900127FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=N1YTI3DHLT000&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NE/161,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417370.14,436933.15,417442.95,437002.35,27700",2017-11-01
"Stockhill Road, Idle",yes,,2018-11-01,,0.21,0,0,Site with permission for 8,local-authority-eng:BRD,not owned by a public authority,2017-12-14,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9502304COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7900719COU&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,NE/162,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=418794.55,437424.9,418858.8,437496.6,27700",2018-11-01
"Site of Ashfield Mills, Ashfield Rd, Idle",yes,,2018-11-01,,0.88,0,0,Mill site with redevelopment permission for 35 family homes,local-authority-eng:BRD,not owned by a public authority,2017-10-02,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7403739FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8800279REM&activeTab=summary|https://planning.bradford.gov.uk,permissioned,outline planning permission,NE/163,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417965.75,438206.8,418098.8,438310.15,27700",2018-11-01
"Greenfield Avenue, Windhill",yes,,2018-11-01,,0.17,0,0,Former offices with redevelopment permission,local-authority-eng:BRD,,2017-11-11,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OU3ULQDHMB800&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MFE0B7DH0DX00&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,NE/166,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415558.75,436352.8629,415629.05,436406.05,27700",2018-11-01
"Peel Park Hotel, Otley Rd",yes,,2018-11-01,,0.08,0,0,Former pub with conversion permission to 5 apartments,local-authority-eng:BRD,not owned by a public authority,2018-03-20,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LBF5SGDH0DX00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J9G6C6DH8O000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,NE/170,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417075.44,434363.53,417118.0,434404.9,27700",2018-11-01
"New Otley Road, Barkerend",yes,,2018-11-01,,0.13,7,5,Cleared site which is part of social housing providers ongoing programme,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JEL6V0DH8O000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LOOF1UDH0GF00&activeTab=summary,not permissioned,,NE/171,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416918.4849,433470.3,416976.42,433535.7516,27700",2018-11-01
Sycamore Close/Otley Road,yes,,2018-11-01,,0.48,21,18,Cleared site which is part of social housing providers ongoing programme,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7506725FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=PB8R8VDHGCK00&activeTab=summary|https://planning.bradford.gov,not permissioned,,NE/172,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=417052.5253,433822.8017,417144.9843,433890.0,27700",2018-11-01
"Site of Wainfleet House, Ruston Road",yes,,2018-11-01,,0.16,8,7,Cleared site which is part of social housing providers ongoing programme,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7700819FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9602581REG&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,NE/173,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=419019.799,433626.2,419073.094,433690.047,27700",2018-11-01
"Snowden Street/Trafalgar Street, Manningham",yes,,2018-11-01,,0.49,0,0,Site with outline permission for mixed use to include 229 apartments,local-authority-eng:BRD,not owned by a public authority,2017-07-01,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0100839LBC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8404809FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,outline planning permission,NW/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416055.3,433650.4262,416158.6,433738.4,27700",2017-11-01
"Drummond Trading Estate, Lumb Lane, Manningham",yes,,2018-11-01,,3.03,114,93,"The owner intends bringing this site forward following its clearance after a major fire. The site is suitable for residential development, employment and community use.",local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0001388REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8205351LBC&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,NW/002,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415470.0,433754.0,415698.2,433971.6,27700",2017-11-01
Springbank Place,,,2018-11-01,,0.57,20,15,The site has residential potential for redevelopment subject to conservation area consent,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JQ5OJ1DH8O000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JQQ494DH06L00&activeTab=summary|https://planning.bradford.,not permissioned,,NW/007,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415667.9,434501.0,415789.35,434601.75,27700",2018-11-01
"Mansfield Road, Mansfield",,,2018-11-01,,0.21,20,11,Derelict and tipped land with vacant building. Permission for conversion and new build to form 20 units has now expired. There have been no further applications,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NY40L2DH0GF00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7604896OUT&activeTab=summary|https://planning.bradford.gov,not permissioned,,NW/010,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415321.9,434687.4,415375.2,434745.9807,27700",2017-11-01
"St Marys Road, Manningham",,,2018-11-01,,0.22,11,9,There have been various applications for development but none successful. The site is considered to be is suitable for residential use and can accommodate at least 9 units,local-authority-eng:BRD,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8307037COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JN9RJUDH0D700&activeTab=summary|https://planning.bradford.gov,not permissioned,,NW/012B,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415086.9,434681.15,415127.5768,434753.21,27700",2017-11-01
"Priestman Street, Manningham",,,2018-11-01,,0.89,80,41,"Large derelict mill and single storey industrial buildings only in partial use. Demolition notification submitted to clear the fire damaged buildings in 2017. The site could be redeveloped for residential redevelopment, although owner intentions are not",local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HKY4UYDHT3000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=M9X9IADH0B300&activeTab=summary|https://planning.bradford.,not permissioned,,NW/013A,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415078.6,434053.6,415183.75,434223.0,27700",2017-11-01
"Newport Road, Manningham",yes,,2018-11-01,,0.09,0,0,Site with planning permission for 9 units,local-authority-eng:BRD,not owned by a public authority,2016-05-25,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9403636COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=N61B11DH00F00&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NW/013B,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415138.6293,434071.54,415192.0,434111.0,27700",2017-11-01
"Whitburn Way, Allerton",yes,,2018-11-01,,0.42,0,0,Site with full permission for family homes,local-authority-eng:BRD,not owned by a public authority,2018-01-03,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K0V0ELDHFH000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IQ1UUMDHV6000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,NW/036,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411888.55,433929.0,411970.35,433987.789,27700",2017-11-01
"Allerton Lane, Allerton",yes,,2018-11-01,,0.65,0,0,Site with permission for 9 units,local-authority-eng:BRD,not owned by a public authority,2017-06-08,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J28V8JDHX2000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7600948FUL&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NW/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411308.15,433998.7,411365.31,434067.2,27700",2017-11-01
"Merrivale Road, Allerton",yes,,2018-11-01,,1.34,60,49,"Slightly sloping land, grassed over but formerly the site of the Merrivale Arms public house. The owner intends bringing the site forward for development",local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0002089COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9101029FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,NW/040,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411242.59,433582.1563,411379.8985,433770.009,27700",2017-11-01
"Reservoir House, Heights Lane, Daisy Hill",,,2018-11-01,,0.87,39,32,The owners present intentions are unknown.,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KW6E8PDHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=M3R0W7DH0B300&activeTab=summary|https://planning.bradford.,not permissioned,,NW/045,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=412840.7,434938.7,413014.1,435037.98,27700",2017-11-01
"Land at buildings at Kenilworth House, Saffron Drive, Allerton",yes,,2018-11-01,,0.79,0,0,Site has had permisison for partial demolition and residential new build which has expired. There is recent developer interest in the site,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0104116FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0103639REG&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,NW/058,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411843.6504,433770.5,411980.491,433866.8347,27700",2017-11-01
"Bell Dean Road, Allerton",yes,,2018-11-01,,0.25,0,0,Site with outline permission for 9 houses,local-authority-eng:BRD,not owned by a public authority,2015-09-18,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0002089COU&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JUONSQDHFH000&activeTab=summary|https://planning.bradford.gov,permissioned,outline planning permission,NW/060,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411660.4611,433695.35,411742.35,433749.0817,27700",2017-11-01
"Alton Grove, Frizinghall",yes,,2018-11-01,,0.26,0,0,Site with detailed planning permission for 4 houses. Details submitted,local-authority-eng:BRD,not owned by a public authority,2016-10-06,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JYCAERDH0B600&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=O322Q9DH0CS00&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,NW/066,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414730.27,436444.4,414802.53,436518.95,27700",2017-11-01
"Saffron Drive, Allerton",yes,,2018-11-01,,0.27,0,0,Site with full planning permission for 6 houses,local-authority-eng:BRD,owned by a public authority,2017-06-28,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9702339REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JX7EE8DH09100&activeTab=summary|https://planning.bradford.gov,permissioned,full planning permission,NW/067,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411353.3886,434072.12,411465.5283,434142.9,27700",2017-11-01
